name,branche,beschreibung,adresse
Göldlin Apotheke,Apotheke,Apotheke,"Rathausgasse 29
5001 Aarau"
Architekten-Gruppe Bircher Roth von Arx AG,Architektur,,"Stritengässli 24
5000 Aarau"
Fritz Glaus & Co. AG,Automobile,Garage / Verkauf -> Nutzfahrzeuge / Personenwagen,"Postfach 2836
5001 Aarau"
Furter Bäckerei - Konditorei,Bäckerei - Konditorei - Confiserie,"Brot, Bio Brot","Bahnhofstrasse 9
5000 Aarau"
Aargauische Kantonalbank,Bank,Regionaldirektion Aarau,"Bahnhofplatz 1
5001 Aarau"
Aarebau AG,Bedachungen,Flachdach- und Spenglerarbeiten,"Staffeleggstrasse 16
5024 Küttigen"
Aarebeton Aarau AG,Baugewerbe,Produktion und Vertrieb von Transportbeton,"Im Lostorf 3
5033 Buchs"
Aare Touring Garage AG,Automobile,,"Steinachermattweg 1
5033 Buchs"
AZ Zeitungen AG,Medien,Medien,"Neumattstrasse 1
5001 Aarau"
Widmer Peter E.,Advokatur- und Notariatsbüro,,"Hintere Bahnhofstrasse 6
5001 Aarau"
Aeschlimann AG,Baugewerbe,,"Herzogstrasse 27
5000 Aarau"
AFM Stadtgarage AG,Automobile,,"Weihermattstrasse 82
5001 Aarau"
"Radio Medien AG, Radio Argovia",Medien,De Soundtrack zom Läbe,"Bahnhofstrasse 41
5001 Aarau"
APG|SGA Allgemeine Plakatgesellschaft AG,Werbung,Grösster Out-of-home Medienanbieter der Schweiz,"Mühlemattstrasse 50
5001 Aarau"
Allianz Suisse,Versicherung,"Versicherung, Vorsorge, Vermögen","Hintere Bahnhofstrasse 8
5001 Aarau"
AMA Messe und Kongress AG,Dienstleistungen,Messe- und Eventorganisation,"Rössligutstrasse 2
5000 Aarau"
Architektengemeinschaft 4 AG,Architektur,,"Laurenzentorgasse 16
5000 Aarau"
"Ralph Schiltknecht, Rechtsanwalt und Mediator SDM",Advokatur- und Notariatsbüro,Advokatur / Mediation / Notariat,"Rain 53
5001 Aarau"
Pfisterer Fretz Rechtsanwälte,Rechtsanwalt,Wir beraten Sie umfassend insbesondere in Angelegenheiten des öffentlichen Rechts.,"Frey-Herosé-Strasse 25
5000 Aarau"
Aschwanden Aarau AG,Bedachungen,Bedachungen / Fassadenbau / Spenglerei,"Postfach
5001 Aarau"
AWTreuhand AG,Treuhand,Treuhand und Revisionsgesellschaft,"Erlinsbacherstrasse 3
5001 Aarau"
Telecomcenter Aarau GmbH,Telecommunikation,,"Buchserstrasse 34
5000 Aarau"
"SCOOTER Fashion Shop, Baghdadi International AG",Mode - Bekleidung,"Damenmode für jede Gelegenheit, eigenes Label SCOOTER","Postfach 2421
5001 Aarau"
AarauInvest AG,Vermögensverwaltung,Vermögensverwaltung und Finanzberatung,"Hohlgasse 45
5000 Aarau"
Basler Versicherung AG / Basler Leben AG / Generalagentur Aarau,Versicherung,Versicherungs- und Finanzlösungen,"Laurenzenvorstadt 90
5001 Aarau"
Advokaturbüro Peter Forster,Advokatur- und Notariatsbüro,,"Kasinostrasse 30
5000 Aarau"
Berner AG  Printline,Druck,Digitaldruck - Werbetechnik - Plakate/Poster - Plan/Plot/Scan - Textildruck,"Rohrerstrasse 33
5001 Aarau"
Bernheim & Co. AG,Mode - Bekleidung,Alain Bernheim,"Kasinostrasse 25
5000 Aarau"
Linder Blumen GmbH,Blumen,Qualität + Kreativität = Linder Blumen,"Bahnhofplatz 1
5001 Aarau"
Bodmer Bauingenieure AG,Ingenieurbüro,"Dienstleistung, Ingbüro für Hoch- u. Tiefbau","Tellistrasse 114
5001 Aarau"
Boschetti  AG,Sanitär - Heizung,"""De Boschetti wetti""","Weihermattstrasse 36
Postfach 2334
5001 Aarau"
Confiserie Tea Room Brändli Aarau AG,Bäckerei - Konditorei - Confiserie,,"Bahnhofstrasse 37
5000 Aarau"
Brillen - TROTTER AG,Optik,Diplomierte Augenoptiker,"Bahnhofstrasse 55
Postfach 2402
5001 Aarau"
Maler Stefanie Briner,Maler,"Maler- und Tapeziererarbeiten, Spanndecken, Naturofloor","Mühlemattstrasse 91
5000 Aarau"
5000 hair Pino Costanzo,Coiffure,Damen- und Herrencoiffure,"Schiffländestrasse 27a
5000 Aarau"
"Buser + Partner AG, dipl. Architekten ETH/SIA",Architektur,in Aarau und Umgebung seit 1946,"Jurastrasse 2
5000 Aarau"
Aarlux-Aarau GmbH,Elektro,"Handel mit lichttechnischen Produkten, insbesonders mit Leuchtmittel.","Schiffländestrasse 45
5000 Aarau"
La passion du vin AG,Weine und Spirituosen,Ausgesuchte Weine aus kleinen Produktionen.,"Laurenzentorgasse 7
5000 Aarau"
Bank Cler,Bank,,"Kasinostrasse 17
Postfach
5001 Aarau"
Herzig Interlook AG,,,"Graben 8
5000 Aarau"
Vaudoise Versicherungen,Versicherung,Generalagentur Andy Siegenthaler,"Kasernenstrasse 26
5001 Aarau"
Vom Fass Aarau GmbH,Weine und Spirituosen,"Sehen, probieren, geniessen","Pelzgasse 15
5000 Aarau"
Notariat Rudolf Fasler,Advokatur- und Notariatsbüro,"aargauischer Notar, eidg. dipl. Immobilientreuhänder","Bleichemattstrasse 11
5001 Aarau"
Fasler Druck AG,Druck,,"Neumattstrasse 32
5000 Aarau"
Finocchiaro Parkettdesign GmbH,"Bodenbeläge, Teppiche, Parkett",Sanierungen und Neuverlegung von Bodenbelägen,"Delfterstrasse Süd 10
5004 Aarau"
FMT Fachmarkt Möbel und Teppiche  AG,Möbelgeschäft,,"Küttigerstrasse 42
5001 Aarau"
Frei Architekten AG,Architektur,,"Bleichemattstrasse 43
5000 Aarau"
Garage Rebmann AG,Automobile,,"Edisonstrasse 1
5033 Buchs AG"
Gasthof zum Schützen AG,Gastgewerbe,,"Schachenalle 39
5000 Aarau"
Gebr. Strässle AG,Metzgerei,Traiteur / Party-Service,"Tramstrasse 31
5034 Suhr"
Securitas AG,Sicherheitsdienst,Integrale Sicherheitsdienstleistungen,"Rain 42
5000 Aarau"
Glas + Spiegel René Müller GmbH,Glaserei,Glasschleiferei-Glasbau,"Picardiestrasse 5
5040 Schöftland"
Gloor Metallbau GmbH,Metallbau,,"Tellistrasse 18
5000 Aarau"
Goldschmied Gloor AG,Goldschmied,,"Rain 8
5000 Aarau"
Grassi L. AG,Velos - Motos,"Handel &amp; Reparaturen von Fahrrad, Mofa und Roller","Hammer 3
5000 Aarau"
Gräub Auto Center AG,Automobile,Carrosserie+Garage,"Industriestrasse 39
5036 Oberentfelden"
Gruber Partner AG,Treuhand,prüfen - beraten - führen,"Bahnhofstrasse 78
5001 Aarau"
Gygax Uhren Schmuck Erleben AG,Bijouterie - Uhren,"Uhren, Bijouterie, Schmuck, Trauringe, Verlobungsringe, Perlen, Diamanten, Breitling, Zentih, Chopard, Maurice Lacroix, Rado, Ebel, mechanische Uhren, Goldschmiede, Schmuckanfertigungen, Schmuckdesign","Bahnhofstrasse 31
5000 Aarau"
Gytronic AG,Lautsprecheranlagen,"Ruf- und Musikanlagen (ELA), HomeCinema","Bahnhofstrasse 50
5507 Mellingen"
Hagenbuch AG,Papeterie,,"Vordere Vorstadt 21
5001 Aarau"
Hans Hassler AG,"Bodenbeläge, Teppiche, Parkett",Bodenbeläge + Vorhangsysteme,"Rohrerstrasse 78
5001 Aarau"
Häuptli & Marchesi AG,"Bodenbeläge, Teppiche, Parkett",Plattenleger und Kundenmaurer,"Rohrerstrasse 62
5001 Aarau"
Häusermann AG,Automobile,,"Rohrerstrasse 30
5000 Aarau"
Graviertechnik Heidersberger AG,Gravuren,Gravuren Schilder Kinderbestecke Stempel Pokale Tafelbestecke Verbotsschilder Technikschilder Zinnwaren Kindergeschirr,"Bircher Benner-Weg 2
5001 Aarau"
Heiz Schriften AG,Schrift - und Reklamegestaltung,,"Tellistrasse 41
5000 Aarau"
Heizmann AG,Schlauchtechnik,Grosshandel + Produktion,"Neumattstrasse 8
5000 Aarau"
HKG Engineering AG,Ingenieurbüro,,"Mühlemattstrasse 16
5001 Aarau"
Malermeister Hochuli AG,Maler,Malen Tapezieren Naturofloor Beläge Dekorationen Farbberatung,"Pfrundweg 1
5000 Aarau"
Aarauer Praxis,Gesundheit,"Praxis für Akupunktur & Alternativmedizin / Praxis für Kinderwunsch, Schwangerschaft & Geburt","Bachstrasse 59
5000 Aarau"
Hochuli Malergeschäft GmbH,Maler,"Malen, Tapezieren, Fassaden, Farbberatung-+Gestaltung","Buchserstrasse 51
5000 Aarau"
Hofer Max,Sanitär - Heizung,Spenglerei Sanitär Heizung,"Kirchgasse 15
5000 Aarau"
Sorell Hotel Aarauerhof,Gastgewerbe,Aarauerhof Konferenz- & Seminarhotel Wellnessoase -Restaurants,"Bahnhofplatz 2
5000 Aarau"
Scholl Lienhard & Partner Rechtsanwälte,Advokatur- und Notariatsbüro,,"Laurenzenvorstadt 19
5001 Aarau"
Eniwa AG,Elektro,,"Industriestrasse 25
5033 Buchs"
Jost Aarau AG,Elektro und Telekommunikation,Jost verbindet... Elektroanlagen Telematik Automation,"Neumattstrasse 6
5001 Aarau"
Keller & Co. Liegenschafts-Verwaltung,Immobilien,,"Zelglistrasse 39
5000 Aarau"
AXA Generalagentur Vorsorge & Vermögen Erwin Schmid,Versicherung,"Vorsorgeberatung für Privatpersonen, Finanz- und Pensionierungsplanungen, Pensionskassenberatung für Unternehmen.","Schlossplatz 1
Postfach 2219
5001 Aarau"
Büro Köbeli GmbH,Büroeinrichtungen,Spezialisiert auf Büroeinrichtung und Planung,"Korbackerweg 19
5502 Hunzenschwil"
Knecht Reisen AG,Reisen,,"Vordere Vorstadt 27
5000 Aarau"
Senevita Gais Aarau,Gesundheit,,"Hintere Bahnhofstrasse 90
5000 Aarau"
Oel-Pool AG,Transporte,,"Spittelweg 1
5034 Suhr"
Lämmli Architektur AG,Architektur,Architektur / Projektentwicklungen,"General Guisan-Strasse 2
5000 Aarau"
"Briner Barbara, Wohn- und Raumkonzept",Innenarchitektur,"Wohnen - Arbeiten - Leben / Professionelle Beratung, Planung und Umsetzung bei der Gestaltung Ihrer Räume","Mühlemattstrasse 91
5000 Aarau"
"Eichenberger AG, Bauingenieure und Planer",Baugewerbe,Bauingenieure und Planer,"Hauptstrasse 34 / Postfach
5037 Muhen"
Lehnert AG,Gartenbau,"Wasser, Pflanzen und Gärten","Postfach 78
5022 Rombach"
Minerva Schweiz AG,Schule,Berufsvorbereitung/Handelsschule VSH/Kaderschule/,"Industriestrasse 1 / Gais Center
5001 Aarau"
Loss Astrid,Kosmetik,,"Rathausgasse 29
5000 Aarau"
Kurt Lüscher AG,Elektro und Telekommunikation,Elektrotechnische Unternehmungen,"Postfach
5001 Aarau"
Lüthi & Schneiter AG,Architektur,ArchitektInnen BA FHNW,"Laurenzenvorstadt 25
5000 Aarau"
RDL GmbH,Baugewerbe,Wir arbeiten im Innenausbau im Bereich Systemtrennwände und Akustiklösungen an Decken und Wänden.,"Reiherweg 2
5034 Suhr"
Fläschehals Martin Hartmann AG,Weine und Spirituosen,Weine und Getränke,"Laurenzenvorstadt 53
5000 Aarau"
Maurer AG,Maler,"Baumalerei, Thermolackierwerk, Carrosserie","Bresteneggstrasse 1
5033 Buchs"
McDonalds Restaurant,Gastgewerbe,Restaurant,"Bahnhofstrasse 5-7
5000 Aarau"
Mode Moser AG,Mode - Bekleidung,Damenmode und Festmode,"Metzgergasse 4
5000 Aarau"
Rud. Bürgi + Partner GmbH,Ingenieurbüro,Engineering,"Bahnhofstrasse 86
5000 Aarau"
Neue Aargauer Bank AG,Bank,Bank,"Bahnhofstrasse 49
5001 Aarau"
Neue Apotheke Aarau,Apotheke,,"Vordere Vorstadt 11
5000 Aarau"
Immovendo,Immobilien,Immobilienvermittlung,"Zentralstrasse 52
5610 Wohlen"
Oel-Brack AG,Treib- und Brennstoffe,,"Rupperswilerstrasse 3
5502 Hunzenschwil"
Personal Sigma Aarau AG,Personal,Personalberatung - Stellenvermittlung,"Jurastrasse 6
5001 Aarau"
Pfisterer Thomas Dr. iur. Fürsprecher LL.M.,Rechtsanwalt,,"Fröhlichstrasse 4
5000 Aarau"
Foto Basler,Foto,Industrie und Werbeaufnahmen,"Bahnhofstrasse 18
5000 Aarau"
Pneu Egger AG,"Pneus, Pneuservice",Ihr Spezialist für Reifen und diverses Zubehör,"Neumattstrasse 4 
5001 Aarau"
"Post CH AG, Poststellengebiet Aarau",Dienstleistungen,,"Bahnhofstrasse 67
5001 Aarau"
Priska Hochzeits- und Festtagsmode AG,Boutique,,"Rathausgasse 28
5000 Aarau"
smARTec Veranstaltungstechnik,Veranstaltungstechnik,Vermietung von Multimedialer Veranstaltungstechnik,"Wässermattstrasse 7
5000 Aarau"
Kino Aarau AG,Kino,Kinos Aarau,"Kasinostrasse 13
5000 Aarau"
Restaurant Mürset,Gastgewerbe,,"Schachen 14/18
5000 Aarau"
Baubedarf-Richner-Miauton,Baugewerbe,Bäder und Plättli,"BR Bauhandel AG
Pulverhausweg 1
5033 Buchs AG"
"Rothpletz, Lienhard + Cie. AG",Baugewerbe,,"Schiffländestrasse 35
5001 Aarau"
Glockengiesserei H. Rüetschi AG,Diverse,Glockenguss. Kirchturmtechnik. Turmuhren. Zifferblätter. Kunstguss. Metallbau. Design. Restauration.Vergoldungsarbeiten,"Rain 44
5000 Aarau"
Paul Ryser AG,Sanitär - Heizung,Planung / Ausführung von Haustechnikanlagen,"Florastrasse 16
5001 Aarau"
Salon drü GmbH ,Podologie,"Institut für Kosmetik, Podologie","Kasinostrasse 25
5000 Aarau"
Implenia Schweiz AG,Baugewerbe,Profitcenter Aargau,"Modernisation & Development
Bahnhofstrasse 24
5000 Aarau"
IN4OUT AG,Computer,Informatik Dienstleistungen,"Hintere Bahnhofstrasse 6
5000 Aarau"
BOWLING-CENTER AARAU,Gastgewerbe,"Bowling, Billard, Barbetrieb und Unterhaltungsspiele","Rohrerstrasse 102
5000 Aarau"
Schenker Storen AG,Storen und Rollladen,,"Stauwehrstrasse 34
5012 Schönenwerd"
Schlüssel Informatik AG,Internet,,"Graben 10
5000 Aarau"
infowirt.ch gmbh,Dienstleistungen,"Keine Strasse ist lang, mit einem Freund an der Seite.","Herzogstrasse 4
5000 Aarau"
Schuh Wehrli,Schuhe,,"Graben 26
5000 Aarau"
Ortholine Aarau,Gesundheit,,"Ziegelrain 11
5000 Aarau"
Printpark GmbH,Digitaldruck & Werbetechnik,"Wir realisieren Beschriftungen und Werbung an Gebäuden, Fahrzeugen und Verkaufspunkten.","Mitteldorfstrasse 35
5033 Buchs"
Brunner Zimmerei Holzbau GmbH,Holzbau,Für Qualität im Holzbau - von der Planung bis zur Ausführung. ,"Picardiestrasse 25
5040 Schöftland"
Credit Suisse (Schweiz) AG,Bank,Bankdienstleistungen,"Bahnhofstrasse 20
5001 Aarau"
Die Mobiliar Versicherungen & Vorsorge,Versicherung,mobi 24 - 24 Std. Zentrale,"Kasinostrasse 29
5001 Aarau"
UBS AG,Bank,UBS AG,"Bahnhofstrasse 61
Postfach
5000 Aarau"
Kähli AG,"Maler, Sandstrahler",Malerarbeiten aller art / Sandstrahlen mobil u. statonär,"Obermattweg 10
5032 Aarau Rohr"
PricewaterhouseCoopers AG,Treuhand,Wirtschaftsprüfung und Steuerberatung,"Bleichemattstrasse 43
5000 Aarau"
pandanet.ch GmbH,Computer,IT- Dienstleistungen,"Stauwehrstrasse 40
5012 Schönenwerd"
"Zurich, Generalagentur Vincenzo Centolanza",Versicherung,"Versicherung, Vorsorge, Vermögen für Firmen und Private","Industriestrasse 14
Agentur Aarau / Oberentfelden
5036 Oberentfelden"
profex broker AG,Versicherung,http://www.profexbroker.ch,"Distelbergstrasse 22
5000 Aarau"
ENGIE Services AG,Gebäudetechnik,,"Hinterdorfstrasse 21
5032 Aarau Rohr"
Tele M1 AG,Medien,,"Neumattstrasse 1
5001 Aarau"
Thut Architekten AG,Architektur,Dipl. Architekten FH/STV,"Wässermattstrasse 12
5000 Aarau"
thv AG,Treuhand,"Buchhaltung, Steuern, Recht, Revision","Ziegelrain 29
5001 Aarau"
Urech Optik AG,Optik,,"Vordere Vorstadt 18
5000 Aarau"
BDO AG,Treuhand,Treuhand- und Beratungsgesellschaft,"Entfelderstrasse 1
5001 Aarau"
Visus Service GmbH,Dienstleistungen,"Beratungen für Management, Marketing, Verwaltung","Postfach 4218
5001 Aarau"
PSS Stoltenberg,Getränke,Unterhaltsarbeiten in der Getränkeindustrie,"Schiffländestrasse 4
5000 Aarau"
Vital AG,Diverse,"Vormischungen für Futtermittel, Tierarzneimittel","Industriestrasse 30
Postfach
5036 Oberentfelden"
Mittelland-Personal AG,Personal,Stellenvermittlung für die Industrie und das Industrie-nahe Gewerbe,"Igelweid 22
5001 Aarau"
innov8 AG,Internet,"Grafik, Druck & Web Solutions","Delfterstrasse Süd 12
5000 Aarau"
AXA Winterthur Generalagentur Marcello Pierri,Versicherung,Generalagentur Marcello Pierri,"Schlossplatz 1
5001 Aarau"
Knaus Treuhand AG,Treuhand,"Treuhand-Dienstleistungen, Mitglied Treuhand│Suisse","Aarepark 6
5000 Aarau"
Zahner Platten AG,"Bodenbeläge, Teppiche, Parkett",Wand- und Bodenplatten,"Hauptstrasse 98b
5032 Aarau Rohr"
ZILTENER AG,Metallbau,,"Wässermattstrasse 2
5000 Aarau"
Zimmermann Gartenbau AG,Gartenbau,,"Hebelweg 6
5000 Aarau"
Zubler Partner Architekten,Architektur,Planung und Ausführung von Hochbauten,"Hohlgasse 58
5000 Aarau"
Zubler AG,Baugewerbe,"Bauunternehmung, Zimmerei, Fensterfabrik","Gönhardweg 28
5001 Aarau"
ISI PRINT AG,Druck,ISI Print ist Ihr regio­naler Partner in Aarau für mass­geschnei­derte Lösungen,"Tellistrasse 114
5000 Aarau"
Avanti Bau GmbH,Baugewerbe,Abdichtung / Bautenschutz,"Pestalozzistrasse 49
5001 Aarau"
Raiffeisenbank Aarau-Lenzburg,Bank,,"Kasinostrasse 37
5000 Aarau"
CS-Computing GmbH,Computer,Informatikdienstleistungen,"Hauptstrasse 73
5032 Aarau Rohr"
A-Zulauf Musikinstrumente GmbH,Musik,Musikgeschäft &amp; Musikschule,"Zentrum Brauerei, Mitteldorfstrasse 37
5033 Buchs"
Rechtsanwalt Dr. Beat Ries,Advokatur- und Notariatsbüro,Rechtsanwalt,"Bleichemattstrasse 43
5001 Aarau"
kaz. Kaufmännisches Ausbildungszentrum Aarau,Schule,"Handelsschule, Neuorientierung, Kaderschule","Kasinostrasse 19
5000 Aarau"
Valiant Bank AG,Bank,"Valiant - Nähe, die Sie weiter bringt.","Laurenzenvorstadt 1
5001 Aarau"
Bouygues E&S In Tec Schweiz AG,Elektro und Telekommunikation,Wir verstehen Gebäude!,"Postfach 2228
5001 Aarau"
