name,branche,beschreibung,adresse
Zinniker Rudolf Fürsprecher und Notar,Advokatur- und Notariatsbüro,Advokatur &amp; Notariat,"Frey-Herosé-Strasse 20
5001 Aarau"
BCO Treuhand + Vorsorge AG,Finanzplanung,Treuhand und Vorsorge,"Rain 41
5001 Aarau"
Immotelli,Immobilien,Liegenschaftsverwaltung,"Tellistrasse 116
5000 Aarau"
Jaisli-Beck AG,Bäckerei - Konditorei - Confiserie,,"Oberdorfstrasse 9
5033 Buchs"
Restaurant Rathausgarten Gastro GmbH,Gastgewerbe,,"Obere Vorstadt 36
5000 Aarau"
AWB Beratungen AG,Immobilien,Immobilienverwaltung und -beratung,"Bahnhofstrasse 10
5001 Aarau"
Scherer Treuhand AG,Treuhand,,"Kasinostrasse 19
5000 Aarau"
"Spaghetti-Factory ""Salmen"" Spago SA",Gastgewerbe,,"Metzgergasse 8
5000 Aarau"
Hirslanden Klinik Aarau,Gesundheit,Das private Gesundheitszentrum im Mittelland,"Schänisweg
5001 Aarau"
H2G Internetagentur,Internet,Beratung und Umsetzungen im Bereich Internetlösungen,"Halden 36
5000 Aarau"
Schärer Daniel Verbandsdienstleistungen,Unternehmensberatung,,"Bahnhofstrasse 86
5001 Aarau"
Hunziker Martina,Rechtsanwalt,,"Hintere Bahnhofstrasse 6
5001 Aarau"
Randstad (Schweiz) AG,Personal,Personaldienstleister Technik/Industrie,"Igelweid 3
5001 Aarau"
Bolliger Schmuck und Uhren,Bijouterie - Uhren,,"Rathausgasse 23
5000 Aarau"
H & T Raumdesign AG,Baugewerbe,"Innenausbau, Einbruchschutz, Haustüren, Schiebewände, Harmonikatüren","Rohrerstrasse 20
5000 Aarau"
Garage Zimmerli Aarau AG,Automobile,Autogarage,"Hauptstrasse 1
5032 Aarau Rohr"
MCS Meier,Automobile,Carrosserie und Lackierwerk,"Buchserstrasse 53
5000 Aarau"
Die Mobiliar Versicherungen & Vorsorge,Versicherung,Versicherungen & Vorsorge,"Kasinostrasse 29
5001 Aarau"
Robert Hauri GmbH,Transporte,Hauswartungen und Transporte,"Troxlerweg 4
5000 Aarau"
Hochuli + Co Liegenschaftsverwaltung,Immobilien,,"Pfrundweg 1
5000 Aarau"
CSD Ingenieure AG,Ingenieurbüro,"Ingenieurbüro für Umwelt, Geolgie, Bau, Energie und Wasser","Schachenallee 29A
5000 Aarau"
Dörig & Partner AG,Finanzplanung,Greifbare Lösungen für Ihre sichere Zukunft.,"Herzogstrasse 12
5001 Aarau"
Modellbahn-Center Eurobahn,"Geschenke, Basteln, Spielwaren",Modellbahn-Center,"Hauptstrasse 14
5032 Aarau Rohr"
Felix Steiner AG,Baugewerbe,"Schreinerei, Küchen , Innenausbau, Massmöbel","Künzlimattstrasse 1
5032 Aarau Rohr"
Biofischzucht Nadler AG,Lebensmittel,Produktion von Bio-Forellen/-Saiblingen,"Bibersteinerstrasse 6
5032 Aarau Rohr"
EBERHARD & Partner AG,Ingenieurbüro,"Fachberater in Geologie, Geothermie, Energie, Altlasten, Geotechnik","General Guisan-Strasse 2
5000 Aarau"
Hochhaus AG,Immobilien,,"Hauptstrasse 14
5032 Aarau Rohr"
Husistein AG,Immobilien,Immobilien,"Hauptstrasse 73
Immobilien
5032 Aarau Rohr"
ERNE AG Bauunternehmung,Baugewerbe,"Hochbau, Tiefbau, Werterhaltung, Bauservice, Umbau, Sanierung, Totalunternehmen, Generalunternehmen","Baslerstrasse 5
5080 Laufenburg"
Hypothekarbank Lenzburg AG,Bank,Leiter Region Aarau,"Postweg 1
5034 Suhr"
Kosmetikstudio,Kosmetik,Kosmetikstudio,"Römerstrasse 14
5032 Aarau Rohr"
Le Coiffeur Daniela,Coiffure,Coiffeursalon,"Hauptstrasse 7
5032 Aarau Rohr"
Maurer Motos AG,Velos - Motos,,"Gartenstrasse 21
5032 Aarau Rohr"
Maurer Treuhand AG,Treuhand,,"Hauptstrasse 73
5032 Aarau Rohr"
Mercedes-Benz Automobil AG,Automobile,Nutzfahrzeuge,"Zweigniederlassung Rohr
Hauptstrasse 104
5032 Aarau Rohr"
Metzgerei Speck GmbH,Metzgerei,Metzgerei,"Hauptstrasse 42
5032 Aarau Rohr"
Naegeli Maschinencenter AG,Eisenwarenhandel,Elektrowerkzeuge+Motorgeräte,"Hauptstrasse 106
5032 Aarau Rohr"
inter-punkt. ag,Werbung,Web- und Werbeagentur,"Metzgergasse 6B
5034 Suhr"
Triflex Treuhand AG,Treuhand,Treuhandbüro,"Hauptstrasse 60
5032 Aarau Rohr"
Schmid Velosport AG,Velos - Motos,Velohandlung,"Hauptstrasse 58
5032 Aarau Rohr"
Vorburger Kurt AG,Sanitär - Heizung,"Heizung, Sanitär","Hauptstrasse 15a
5032 Aarau Rohr"
MFH Consulting GmbH,Unternehmensberatung,FREIGERÄUMT arbeiten - führen - handeln,"Imhofstrasse 4
5000 Aarau"
W + S AG,Elektro,Elektroinstallationen,"Lindenweg 4
5032 Aarau Rohr"
"Zimmermann AG, Lösungen für Immobilien",Immobilien,"Projektentwicklungen für Private, Investoren und Behörden","Laurenzenvorstadt 25
5000 Aarau"
Groupe Mutuel,Versicherung,"Personenversicherer (Krankenversicherung, Krankenzusatzversicherung, Taggeld, UVG, BVG und Leben).","Buchserstrasse 12
5000 Aarau"
Aarauer Nachrichten,Medien,"Verlagshaus Zehnder Wil - Herausgabe Aarauer Nachrichten, Aargauer Rundschau, Nachrichten fürs Limmattal","Delfterstrasse Süd 10
5004 Aarau"
Migros Bank AG,Bank,Migros Bank - es geht auch anders,"Bahnhofplatz 4
5001 Aarau"
Residenz Cartau,Gesundheit,privates Pflege- und Altersheim,"Im Aarepark 3B
5000 Aarau"
bilanz & erfolg ag,Treuhand,Rechnungswesen und Immobilientreuhand,"Laurenzenvorstadt 57
5000 Aarau"
BIKU Languages AG,Aus- und Weiterbildung,"Vermittlung von Business-, Allgemein- und Examen-Sprachkursen an führenden Sprachschulen im Sprachgebiet","Vordere Vorstadt 8
5001 Aarau"
Andi Schumacher Gartenbau GmbH,Gartenbau,Ein junges inovatives Gartenbau Unternehmen,"Hauptstrasse 57
5032 Aarau Rohr"
Anwaltspraxis Hochstrasser,Rechtsanwalt,Spezialisierte Anwaltskanzlei für Versicherungsrecht und Haftplichtrecht,"Rain 41
5000 Aarau"
NEUE IMMO AG,Immobilien,Immobilien-Treuhand / Schätzen / Verwalten / Verkauf,"Ziegelrain 11
5000 Aarau"
TM Concept AG,Dienstleistungen,Generalplanungen von Kommunikationsinfrastrukturen,"Delfterstrasse 12
5000 Aarau"
INSURA Consulting Urech & Partner AG,Versicherung,Versicherungsbroker und Vorsorgeberatung für Firmenkunden,"Kasinostrasse 15
5001 Aarau"
Siegrist Dr. Markus,Advokatur- und Notariatsbüro,"Bau-, Planungs- , Enteignungs- und Immobilienrecht","Bleichemattstrasse 43
5001 Aarau"
TEMPORIS PERSONAL AG,Personal,Personaldienstleitungen - Stellenvermittlung,"Igelweid 5
5001 Aarau"
Schwaller Flury Dübendorfer Rechtsanwälte und Notare,Advokatur- und Notariatsbüro,Forensische und beratende Dienstleistungen in den Bereichen Advokatur und Notariat,"Laurenzenvorstadt 11
5001 Aarau"
Vitalyse Aarau,Gesundheit,"Praxis für Ernährung, Gewichtsreduktion und Gesundheit","Bahnhofstrasse 3
5000 Aarau"
Druckerei AG Suhr,Druck,"Visuelle Kommunikation - Ihr Partner im Grossraum Aarau für Gestaltung, Druck, Weiterverarbeitung und Lettershop!","Postweg 2
5034 Suhr"
SWICA Gesundheitsorganisation,Versicherung,Kranken- und Unfallversicherung,"Bahnhofstrasse 4
5001 Aarau"
Baumpflege Kauffungen GmbH,Baumpflege,"Beratung, Pflanzung, Schnitt, Fällung, Baumschutz auf Baustellen, alle Dienstleistungen rund um den Baum.","Hauptstrasse 37e
5032 Aarau Rohr"
Eglin Elektro AG Aarau,Elektro und Telekommunikation,Elektro und Telekommunikations-Installationen ini Neu- und Umbauten wie auch Industrie,"Neumattstrasse 2
5000 Aarau"
safehands GmbH,Projektleitung / Management auf Zeit,Flexible und  professionelle Managementkompetenzen als Entlastung für Sie und Ihr Team,"Hungerbergstrasse 35
5000 Aarau"
axelion AG,EDV,It works.,"Neumattstrasse 2
5000 Aarau"
Wehrli Weinbau AG,Weine und Spirituosen,Die Weinfamilie aus dem Aargau,"Oberdorfstrasse 8
5024 Küttigen"
KBT Treuhand AG Aargau,Treuhand,Neue Niederlassung der KBT Holding,"Bachmattweg 18
5000 Aarau"
Rohrputz-Loriol AG Kanalservice,Kanalservice,"Rohrputz-Loriol reinigt, spült, saugt, entstopft im Haus und rund ums Haus","Industriestrasse 48
4657 Dulliken"
CONCORDIA,Versicherung,"CONCORDIA, Dir vertraue ich","Buchserstrasse 12
5001 Aarau"
wisol technologie GmbH,Maschinensteuerungen,Entwicklung und Wartung von Steuerungen im industriellen Umfeld,"Industriestrasse 10
5036 Oberentfelden"
Laufwerk GmbH,Gesundheit,Fachgeschäft für technische Orthopädie und Gesundheit.,"Siebenmatten 1b
5032 Aarau Rohr"
CAP-Kommunikation,Coaching Persönlichkeitsentwicklung,Inhouse-Mentalseminare / Hypnosecoaching / Mentalcoaching / Tiefenkommunikation,"Rain 26
5000 Aarau"
WEBSAMURAI AG,Internet,Die WEBSAMURAI AG ist eine junge und innovative Webagentur mit Sitz in Aarau,"Schachenallee 29
5000 Aarau"
Engel & Völkers,Immobilien,Immobilienberatung und Vermarktung,"Kronengasse 2
5000 Aarau"
Fuchsgroup Consulting AG,EDV,"Die Fuchsgroup Consulting AG ist ein Dienstleistungsunternehmen für Beratung, Konzeption und Schulung rund um ihre Geschäftsprozesse.","Bahnhofstrasse 67
5000 Aarau"
aarau info,Standortmarketing Tourismus,Tourismusbüro,"Metzgergasse 2
5000 Aarau"
GRIBI Bewirtschaftung AG,Immobilien,Verkauf/Erstvermietung/Bewirtschaftung/Baumanagement,"Buchserstrasse 3
5000 Aarau"
Stephan Kohler Managementberatung,Unternehmensberatung,,"Philosophenweg 42 A
5000 Aarau"
Apleona Real Estate AG,Immobilien,,"Rain 53
Postfach
5001 Aarau"
Livesystems AG,Medien,passengertv,"Rüttistrasse 26
8952 Schlieren"
Kairos BCT,Coaching Persönlichkeitsentwicklung,,"Metzgergasse 8
5000 Aarau"
"Thomas Käser, Rechtsanwalt und Notar",Advokatur- und Notariatsbüro,Umfassende Dienstleistungen und massgeschneiderte Lösungen in den Bereichen Advokatur und Notariat.,"Zelglistrasse 15
Postfach
5001 Aarau"
Reaktor AG,Kommunikation,,"Laurenzenvorstadt 25
5000 Aarau"
Prädikat GmbH,Kommunikation,Lead-Agentur,"Laurenzentorgasse 16
Die Agentur für nachhaltige Kommunikation.
5000 Aarau"
"Swiss Life, Generalagentur Aarau, Markus Rosenberg",Versicherung,Versicherungsgesellschaft,"Hintere Bahnhofstrasse 85
Versicherungsgesellschaft
5000 Aarau"
REIST PARTNER AG,Treuhand,,"Schiffländestrasse 27 A
5000 Aarau"
flexMedics AG,Personal,Personal im Gesundheitswesen,"Bahnhofstrasse 17
5000 Aarau"
EntwicklungsART GmbH,Unternehmensberatung,Beratung von Firmen in unterschiedlichen Branchen und Grössen,"Mühlemattstrasse 42
5000 Aarau"
Restaurant Beluga AG,Gastgewerbe,,"Vordere Vorstadt 17
5000 Aarau"
acustix - Das Leben hören.,Gesundheit,Der Hörgeräteakustiker mit der persönlichen Beratung,"Bibersteinerstrasse 4
Postfach 34
5022 Rombach"
Helvetia Versicherungen Generalagentur Aarau,Versicherung,,"Mitteldorfstrasse 37
Roger Seiger
5033 Buchs"
Witzig The Office Company AG,Büroeinrichtungen,,"Rohrerstrasse 78
5000 Aarau"
hilfiker & partner ag,Versicherung,,"Zollrain 14
5001 Aarau"
Gastroenterologie Aarau AG,Gesundheit,,"Buchserstrasse 18
Dr. med. Florian Riniker
5000 Aarau"
Aconum GmbH,Unternehmensberatung,,"Siebenmatten 24
5032 Aarau Rohr"
ImUmReinigung Susanne Kaufmann,Dienstleistungen,"Reinigung für Gewerbe und Privat, Hauswartung, Bügelservice, Haushaltcoaching,","Siebenmatten 69
5032 Aarau Rohr"
KMU Personal AG Aarau,Personal,,"Bahnhofstrasse 33
5001 Aarau"
Dorfgarage Daniel Imfeld AG,Automobile,Die Garage Ihres Vertrauens!,"Gösgerstrasse 29
5015 Erlinsbach"
ACW AG Aarauer Carrosserie Werke,Automobile,,"Wässermattstrasse 12
5004 Aarau"
mobile it solutions gmbh,Computer,Informatik und EDV- Dienstleistungen,"Rohrerstrasse 102
5000 Aarau"
Otto M. Meier,Versicherung,Versicherungs- und Vorsorgelösungen,"Steingasse 9
Versicherungs- und Vorsorgelösungen
5102 Rupperswil"
second opinion gmbh,Kommunikation,Marketing & Kommunikation,"Hallwylstrasse 12
c/o Peter E. Renggli
5000 Aarau"
Jürg Willi & Partner AG,,,"Laurenzenvorstadt 21
5000 Aarau"
Immobilia 4 AG,Immobilien,"Verkauf, Schätzung und Beratung für Immobilien","Zwischen den Toren 4
5000 Aarau"
wirkungs-Stark,Kommunikation,Grafik & Konzept,"Schachenallee 29
5000 Aarau"
Hotel Kettenbrücke AG,Gastgewerbe,Hotellerie,"Zollrain 16
5000 Aarau"
Gasser Consulting AG,Beratungsstelle,"Scheidung, Trennung, Arbeit, Erbschaft und aussergerichtliche Streitschlichtung, Mediation","Kelleräckerstr. 14
Zweitbüro
8967 Widen"
Previon Plus AG,Internet,"Previon ist eine Agentur, die Kreativität, Technologie und Daten vereint.","Aeschbachweg 12
5000 Aarau"
"Lotus Reinigung, Alan Arkula",,Gebäudereinigung & Hauswartung,"Effingerweg 10
5000 Aarau"
Michael Schibli,Treuhand,Treuhand / Immobilien,"Hombergstrasse 2
5000 Aarau"
Welte Treuhand AG,Treuhand,,"Schiffländestrasse 27A
Postfach 4323
5001 Aarau"
small Foot AG - Die Kinderkrippe,Dienstleistungen,,"Schachenallee 31
5000 Aarau"
MANPOWER,Personal,,"Kasinostrasse 25
5000 Aarau"
Nova Tours AG,Reisen,,"Kirchgasse 1
5000 Aarau"
Bolliger Neukom Treuhand,Immobilien,,"Weltistrasse 9
Postfach 2417
5001 Aarau"
ESL – Sprachaufenthalte,Reisen,Kurse für mehr als 20 Fremdsprachen in über 250 Destinationen,"Igelweid 22
5000 Aarau"
MAMO Verkehrsdienst GmbH,Sicherheitsdienst,Verkehrsdienst - Kontrolle ruhender Verkehr - Schwertransportbegleitung,"Neumattstrasse 29
Postfach
5001 Aarau"
Fasler Treuhand und Revisionen GmbH,Treuhand,,"Bleichemattstrasse 11
5000 Aarau"
PMI.AG,,Informatik und Kommunikationstechnologie,"Bleichemattstrasse 2
5000 Aarau"
buntBund Floristik GmbH,Blumen,,"Rain 15
5000 Aarau"
Andreas Marti & Partner Architekten AG,Architektur,,"Rathausgasse 29
5000 Aarau"
Psychologische Laufbahnberatung Aarau,Beratungsstelle,"Berufs- und Laufbahnberatung für alle Altersgruppen, Bewerbungscoaching","Laurenzenvorstadt 89
5000 Aarau"
Rechtsanwälte und Notariat leiser.meyer.müller,Advokatur- und Notariatsbüro,,"Rathausgasse 9
Advokatur und Notariat
5000 Aarau"
90 Grad Café Bar,Gastgewerbe,,"Bahnhofstrasse 35
5000 Aarau"
planerkiste architekturplanungen,Architektur,,"Müliweg 3
5033 Buchs"
Licht & Wohnen - Daniel Kuhn,Innenarchitektur,Lichtlösungen aus einer Hand,"Tramstrasse 59
Lichtberatung - Planung - Realisation
5034 Suhr"
Wilhelm + Wahlen Bauingenieure AG,Ingenieurbüro,"Bauingenieurbüro mit Niederlassungen in Aarau und Zofingen für Hoch-, Tief- und Brückenbau, Erdbebeningenieurwesen und Bauwerkserhaltung","Kasinostrasse 15
5000 Aarau"
RE/MAX,Immobilien,,"Bahnhofplatz 7
5400 Baden"
SCHIBLI & PARTNER Advokatur und Notariat AG,Rechtsanwalt,"Wir beraten Sie in allen Bereichen des Rechts, wenn nötig mit Unterstützung unseres Notars und unserer Treuhänder!","Bahnhofstrasse 57
Postfach
5001 Aarau 1"
ISG Personalmanagement (Schweiz) GmbH,Personal,Internationaler Komplettanbieter für Personaldienstleistungen,"Buchserstrasse 12
5000 Aarau"
academia language school,Aus- und Weiterbildung,Sprach- und Lernzentrum für Firmen wie Privatkunden,"Bahnhofstrasse 53
5000 Aarau"
Kantonsspital Aarau AG,Gesundheit,,"Tellstrasse 25
5001 Aarau"
Schäfer Zimmerei AG,Baugewerbe,,"Laurenzenvorstadt 61
5000 Aarau"
aaretax Treuhand AG,Treuhand,Treuhandbüro,"Rain 63
5000 Aarau"
Haworth Büromöbel GmbH,Büroeinrichtungen,Haworth ist mehr als ein Büromöbelhersteller,"Badstrasse 5
5737 Menziken"
Cellere Bau AG,Baugewerbe,,"Herzogstrasse 41
5001 Aarau"
HSO Wirtschafts- und Informatikschule,Aus- und Weiterbildung,,"Bahnhofplatz 4
5000 Aarau"
SIS Swiss International School,Aus- und Weiterbildung,"Private, bilinguale Tagesschule","Schachenstrasse 24
5012 Schönenwerd"
Babel Service,Dienstleistungen,,"Girixweg 45
Mechthild Babel
5000 Aarau"
Rückenwind KLG,,,"Asylstrasse 15
5000 Aarau"
rs academy gmbh,Schule,rs academy gmbh - the art of education!,"Lochweg 8c
5023 Biberstein"
Generali Versicherungen,Versicherung,,"Rain 35
5000 Aarau"
1a Gebäudemanagement André Buess,Dienstleistungen,"Hauswartung, technischer Unterhalt, Projekte","Pestalozzistrasse
45
5000 Aarau"
Maier Gastronomie GmbH | Restaurant EINSTEIN,Gastgewerbe,,"Bahnhofstrasse 43
5000 Aarau"
BERDAAG AG,Immobilien,"Wir vermieten, verwalten und verkaufen Immobilien seit 1998","Hallwylstrasse 9
5000 Aarau"
Serves AG,Treuhand,,"Gartenstrasse 28
5400 Baden"
Aarauer Coworking Genossenschaft,Dienstleistungen,Coworking Genossenschaft im Herzen von Aarau,"Bachstrasse 84
c/o immodea Daniel Hediger
5000 Aarau"
Caminada AG,Dienstleistungen,,"Florastrasse 10
Bestattungsinstitut
5000 Aarau"
RE/MAX your choice - Aarau,Immobilien,,"Aeschbachhalle 6
5000 Aarau"
Anwaltskanzlei Dr. Weltert,Advokatur- und Notariatsbüro,,"Bahnhofstrasse 10
5001 Aarau"
NEUE GALERIE 6 AARAU,Diverse,,"Milchgasse 35
5000 Aarau"
Porta AG,Ingenieurbüro,,"Buchserstrasse 12
5000 Aarau"
BCG Behmen Versicherungsbroking AG,Versicherung,,"Hintere Bahnhofstrasse 10
Jan van Rijs
5001 Aarau"
Ackermann+Wernli AG,Ingenieurbüro,Vermessungs- und Ingenieurbüro,"Bleichemattstrasse 43
5000 Aarau"
