name,branche,beschreibung,adresse,id
Göldlin Apotheke,Apotheke,Apotheke,"Rathausgasse 29
5001 Aarau",3313
Architekten-Gruppe Bircher Roth von Arx AG,Architektur,,"Stritengässli 24
5000 Aarau",3315
Fritz Glaus & Co. AG,Automobile,Garage / Verkauf -> Nutzfahrzeuge / Personenwagen,"Postfach 2836
5001 Aarau",3316
Furter Bäckerei - Konditorei,Bäckerei - Konditorei - Confiserie,"Brot, Bio Brot","Bahnhofstrasse 9
5000 Aarau",3317
Aargauische Kantonalbank,Bank,Regionaldirektion Aarau,"Bahnhofplatz 1
5001 Aarau",3318
Aarebau AG,Bedachungen,Flachdach- und Spenglerarbeiten,"Staffeleggstrasse 16
5024 Küttigen",3319
Aarebeton Aarau AG,Baugewerbe,Produktion und Vertrieb von Transportbeton,"Im Lostorf 3
5033 Buchs",3322
Aare Touring Garage AG,Automobile,,"Steinachermattweg 1
5033 Buchs",3323
AZ Zeitungen AG,Medien,Medien,"Neumattstrasse 1
5001 Aarau",3324
Widmer Peter E.,Advokatur- und Notariatsbüro,,"Hintere Bahnhofstrasse 6
5001 Aarau",3326
Aeschlimann AG,Baugewerbe,,"Herzogstrasse 27
5000 Aarau",3327
AFM Stadtgarage AG,Automobile,,"Weihermattstrasse 82
5001 Aarau",3328
"Radio Medien AG, Radio Argovia",Medien,De Soundtrack zom Läbe,"Bahnhofstrasse 41
5001 Aarau",3329
APG|SGA Allgemeine Plakatgesellschaft AG,Werbung,Grösster Out-of-home Medienanbieter der Schweiz,"Mühlemattstrasse 50
5001 Aarau",3330
Allianz Suisse,Versicherung,"Versicherung, Vorsorge, Vermögen","Hintere Bahnhofstrasse 8
5001 Aarau",3331
AMA Messe und Kongress AG,Dienstleistungen,Messe- und Eventorganisation,"Rössligutstrasse 2
5000 Aarau",3332
Architektengemeinschaft 4 AG,Architektur,,"Laurenzentorgasse 16
5000 Aarau",3333
"Ralph Schiltknecht, Rechtsanwalt und Mediator SDM",Advokatur- und Notariatsbüro,Advokatur / Mediation / Notariat,"Rain 53
5001 Aarau",3334
Pfisterer Fretz Rechtsanwälte,Rechtsanwalt,Wir beraten Sie umfassend insbesondere in Angelegenheiten des öffentlichen Rechts.,"Frey-Herosé-Strasse 25
5000 Aarau",3335
Aschwanden Aarau AG,Bedachungen,Bedachungen / Fassadenbau / Spenglerei,"Postfach
5001 Aarau",3336
AWTreuhand AG,Treuhand,Treuhand und Revisionsgesellschaft,"Erlinsbacherstrasse 3
5001 Aarau",3337
Telecomcenter Aarau GmbH,Telecommunikation,,"Buchserstrasse 34
5000 Aarau",3338
"SCOOTER Fashion Shop, Baghdadi International AG",Mode - Bekleidung,"Damenmode für jede Gelegenheit, eigenes Label SCOOTER","Postfach 2421
5001 Aarau",3340
AarauInvest AG,Vermögensverwaltung,Vermögensverwaltung und Finanzberatung,"Hohlgasse 45
5000 Aarau",3341
Basler Versicherung AG / Basler Leben AG / Generalagentur Aarau,Versicherung,Versicherungs- und Finanzlösungen,"Laurenzenvorstadt 90
5001 Aarau",3342
Advokaturbüro Peter Forster,Advokatur- und Notariatsbüro,,"Kasinostrasse 30
5000 Aarau",3343
Berner AG  Printline,Druck,Digitaldruck - Werbetechnik - Plakate/Poster - Plan/Plot/Scan - Textildruck,"Rohrerstrasse 33
5001 Aarau",3345
Bernheim & Co. AG,Mode - Bekleidung,Alain Bernheim,"Kasinostrasse 25
5000 Aarau",3347
Linder Blumen GmbH,Blumen,Qualität + Kreativität = Linder Blumen,"Bahnhofplatz 1
5001 Aarau",3348
Bodmer Bauingenieure AG,Ingenieurbüro,"Dienstleistung, Ingbüro für Hoch- u. Tiefbau","Tellistrasse 114
5001 Aarau",3349
Boschetti  AG,Sanitär - Heizung,"""De Boschetti wetti""","Weihermattstrasse 36
Postfach 2334
5001 Aarau",3351
Confiserie Tea Room Brändli Aarau AG,Bäckerei - Konditorei - Confiserie,,"Bahnhofstrasse 37
5000 Aarau",3353
Brillen - TROTTER AG,Optik,Diplomierte Augenoptiker,"Bahnhofstrasse 55
Postfach 2402
5001 Aarau",3354
Maler Stefanie Briner,Maler,"Maler- und Tapeziererarbeiten, Spanndecken, Naturofloor","Mühlemattstrasse 91
5000 Aarau",3355
5000 hair Pino Costanzo,Coiffure,Damen- und Herrencoiffure,"Schiffländestrasse 27a
5000 Aarau",3356
"Buser + Partner AG, dipl. Architekten ETH/SIA",Architektur,in Aarau und Umgebung seit 1946,"Jurastrasse 2
5000 Aarau",3359
Aarlux-Aarau GmbH,Elektro,"Handel mit lichttechnischen Produkten, insbesonders mit Leuchtmittel.","Schiffländestrasse 45
5000 Aarau",3360
La passion du vin AG,Weine und Spirituosen,Ausgesuchte Weine aus kleinen Produktionen.,"Laurenzentorgasse 7
5000 Aarau",3363
Bank Cler,Bank,,"Kasinostrasse 17
Postfach
5001 Aarau",3365
Herzig Interlook AG,,,"Graben 8
5000 Aarau",3367
Vaudoise Versicherungen,Versicherung,Generalagentur Andy Siegenthaler,"Kasernenstrasse 26
5001 Aarau",3369
Vom Fass Aarau GmbH,Weine und Spirituosen,"Sehen, probieren, geniessen","Pelzgasse 15
5000 Aarau",3370
Notariat Rudolf Fasler,Advokatur- und Notariatsbüro,"aargauischer Notar, eidg. dipl. Immobilientreuhänder","Bleichemattstrasse 11
5001 Aarau",3371
Fasler Druck AG,Druck,,"Neumattstrasse 32
5000 Aarau",3372
Finocchiaro Parkettdesign GmbH,"Bodenbeläge, Teppiche, Parkett",Sanierungen und Neuverlegung von Bodenbelägen,"Delfterstrasse Süd 10
5004 Aarau",3373
FMT Fachmarkt Möbel und Teppiche  AG,Möbelgeschäft,,"Küttigerstrasse 42
5001 Aarau",3374
Frei Architekten AG,Architektur,,"Bleichemattstrasse 43
5000 Aarau",3375
Garage Rebmann AG,Automobile,,"Edisonstrasse 1
5033 Buchs AG",3376
Gasthof zum Schützen AG,Gastgewerbe,,"Schachenalle 39
5000 Aarau",3377
Gebr. Strässle AG,Metzgerei,Traiteur / Party-Service,"Tramstrasse 31
5034 Suhr",3378
Securitas AG,Sicherheitsdienst,Integrale Sicherheitsdienstleistungen,"Rain 42
5000 Aarau",3379
Glas + Spiegel René Müller GmbH,Glaserei,Glasschleiferei-Glasbau,"Picardiestrasse 5
5040 Schöftland",3380
Gloor Metallbau GmbH,Metallbau,,"Tellistrasse 18
5000 Aarau",3381
Goldschmied Gloor AG,Goldschmied,,"Rain 8
5000 Aarau",3382
Grassi L. AG,Velos - Motos,"Handel &amp; Reparaturen von Fahrrad, Mofa und Roller","Hammer 3
5000 Aarau",3383
Gräub Auto Center AG,Automobile,Carrosserie+Garage,"Industriestrasse 39
5036 Oberentfelden",3384
Gruber Partner AG,Treuhand,prüfen - beraten - führen,"Bahnhofstrasse 78
5001 Aarau",3385
Gygax Uhren Schmuck Erleben AG,Bijouterie - Uhren,"Uhren, Bijouterie, Schmuck, Trauringe, Verlobungsringe, Perlen, Diamanten, Breitling, Zentih, Chopard, Maurice Lacroix, Rado, Ebel, mechanische Uhren, Goldschmiede, Schmuckanfertigungen, Schmuckdesign","Bahnhofstrasse 31
5000 Aarau",3386
Gytronic AG,Lautsprecheranlagen,"Ruf- und Musikanlagen (ELA), HomeCinema","Bahnhofstrasse 50
5507 Mellingen",3387
Hagenbuch AG,Papeterie,,"Vordere Vorstadt 21
5001 Aarau",3388
Hans Hassler AG,"Bodenbeläge, Teppiche, Parkett",Bodenbeläge + Vorhangsysteme,"Rohrerstrasse 78
5001 Aarau",3389
Häuptli & Marchesi AG,"Bodenbeläge, Teppiche, Parkett",Plattenleger und Kundenmaurer,"Rohrerstrasse 62
5001 Aarau",3390
Häusermann AG,Automobile,,"Rohrerstrasse 30
5000 Aarau",3391
Graviertechnik Heidersberger AG,Gravuren,Gravuren Schilder Kinderbestecke Stempel Pokale Tafelbestecke Verbotsschilder Technikschilder Zinnwaren Kindergeschirr,"Bircher Benner-Weg 2
5001 Aarau",3392
Heiz Schriften AG,Schrift - und Reklamegestaltung,,"Tellistrasse 41
5000 Aarau",3393
Heizmann AG,Schlauchtechnik,Grosshandel + Produktion,"Neumattstrasse 8
5000 Aarau",3394
HKG Engineering AG,Ingenieurbüro,,"Mühlemattstrasse 16
5001 Aarau",3395
Malermeister Hochuli AG,Maler,Malen Tapezieren Naturofloor Beläge Dekorationen Farbberatung,"Pfrundweg 1
5000 Aarau",3396
Aarauer Praxis,Gesundheit,"Praxis für Akupunktur & Alternativmedizin / Praxis für Kinderwunsch, Schwangerschaft & Geburt","Bachstrasse 59
5000 Aarau",3397
Hochuli Malergeschäft GmbH,Maler,"Malen, Tapezieren, Fassaden, Farbberatung-+Gestaltung","Buchserstrasse 51
5000 Aarau",3398
Hofer Max,Sanitär - Heizung,Spenglerei Sanitär Heizung,"Kirchgasse 15
5000 Aarau",3399
Sorell Hotel Aarauerhof,Gastgewerbe,Aarauerhof Konferenz- & Seminarhotel Wellnessoase -Restaurants,"Bahnhofplatz 2
5000 Aarau",3400
Scholl Lienhard & Partner Rechtsanwälte,Advokatur- und Notariatsbüro,,"Laurenzenvorstadt 19
5001 Aarau",3402
Eniwa AG,Elektro,,"Industriestrasse 25
5033 Buchs",3403
Jost Aarau AG,Elektro und Telekommunikation,Jost verbindet... Elektroanlagen Telematik Automation,"Neumattstrasse 6
5001 Aarau",3404
Keller & Co. Liegenschafts-Verwaltung,Immobilien,,"Zelglistrasse 39
5000 Aarau",3405
AXA Generalagentur Vorsorge & Vermögen Erwin Schmid,Versicherung,"Vorsorgeberatung für Privatpersonen, Finanz- und Pensionierungsplanungen, Pensionskassenberatung für Unternehmen.","Schlossplatz 1
Postfach 2219
5001 Aarau",3407
Büro Köbeli GmbH,Büroeinrichtungen,Spezialisiert auf Büroeinrichtung und Planung,"Korbackerweg 19
5502 Hunzenschwil",3408
Knecht Reisen AG,Reisen,,"Vordere Vorstadt 27
5000 Aarau",3409
Senevita Gais Aarau,Gesundheit,,"Hintere Bahnhofstrasse 90
5000 Aarau",3410
Oel-Pool AG,Transporte,,"Spittelweg 1
5034 Suhr",3412
Lämmli Architektur AG,Architektur,Architektur / Projektentwicklungen,"General Guisan-Strasse 2
5000 Aarau",3413
"Briner Barbara, Wohn- und Raumkonzept",Innenarchitektur,"Wohnen - Arbeiten - Leben / Professionelle Beratung, Planung und Umsetzung bei der Gestaltung Ihrer Räume","Mühlemattstrasse 91
5000 Aarau",3414
"Eichenberger AG, Bauingenieure und Planer",Baugewerbe,Bauingenieure und Planer,"Hauptstrasse 34 / Postfach
5037 Muhen",3415
Lehnert AG,Gartenbau,"Wasser, Pflanzen und Gärten","Postfach 78
5022 Rombach",3416
Minerva Schweiz AG,Schule,Berufsvorbereitung/Handelsschule VSH/Kaderschule/,"Industriestrasse 1 / Gais Center
5001 Aarau",3418
Loss Astrid,Kosmetik,,"Rathausgasse 29
5000 Aarau",3419
Kurt Lüscher AG,Elektro und Telekommunikation,Elektrotechnische Unternehmungen,"Postfach
5001 Aarau",3420
Lüthi & Schneiter AG,Architektur,ArchitektInnen BA FHNW,"Laurenzenvorstadt 25
5000 Aarau",3421
RDL GmbH,Baugewerbe,Wir arbeiten im Innenausbau im Bereich Systemtrennwände und Akustiklösungen an Decken und Wänden.,"Reiherweg 2
5034 Suhr",3422
Fläschehals Martin Hartmann AG,Weine und Spirituosen,Weine und Getränke,"Laurenzenvorstadt 53
5000 Aarau",3423
Maurer AG,Maler,"Baumalerei, Thermolackierwerk, Carrosserie","Bresteneggstrasse 1
5033 Buchs",3424
McDonalds Restaurant,Gastgewerbe,Restaurant,"Bahnhofstrasse 5-7
5000 Aarau",3425
Mode Moser AG,Mode - Bekleidung,Damenmode und Festmode,"Metzgergasse 4
5000 Aarau",3426
Rud. Bürgi + Partner GmbH,Ingenieurbüro,Engineering,"Bahnhofstrasse 86
5000 Aarau",3428
Neue Aargauer Bank AG,Bank,Bank,"Bahnhofstrasse 49
5001 Aarau",3429
Neue Apotheke Aarau,Apotheke,,"Vordere Vorstadt 11
5000 Aarau",3430
Immovendo,Immobilien,Immobilienvermittlung,"Zentralstrasse 52
5610 Wohlen",3432
Oel-Brack AG,Treib- und Brennstoffe,,"Rupperswilerstrasse 3
5502 Hunzenschwil",3434
Personal Sigma Aarau AG,Personal,Personalberatung - Stellenvermittlung,"Jurastrasse 6
5001 Aarau",3436
Pfisterer Thomas Dr. iur. Fürsprecher LL.M.,Rechtsanwalt,,"Fröhlichstrasse 4
5000 Aarau",3437
Foto Basler,Foto,Industrie und Werbeaufnahmen,"Bahnhofstrasse 18
5000 Aarau",3438
Pneu Egger AG,"Pneus, Pneuservice",Ihr Spezialist für Reifen und diverses Zubehör,"Neumattstrasse 4 
5001 Aarau",3439
"Post CH AG, Poststellengebiet Aarau",Dienstleistungen,,"Bahnhofstrasse 67
5001 Aarau",3440
Priska Hochzeits- und Festtagsmode AG,Boutique,,"Rathausgasse 28
5000 Aarau",3441
smARTec Veranstaltungstechnik,Veranstaltungstechnik,Vermietung von Multimedialer Veranstaltungstechnik,"Wässermattstrasse 7
5000 Aarau",3442
Kino Aarau AG,Kino,Kinos Aarau,"Kasinostrasse 13
5000 Aarau",3443
Restaurant Mürset,Gastgewerbe,,"Schachen 14/18
5000 Aarau",3444
Baubedarf-Richner-Miauton,Baugewerbe,Bäder und Plättli,"BR Bauhandel AG
Pulverhausweg 1
5033 Buchs AG",3445
"Rothpletz, Lienhard + Cie. AG",Baugewerbe,,"Schiffländestrasse 35
5001 Aarau",3446
Glockengiesserei H. Rüetschi AG,Diverse,Glockenguss. Kirchturmtechnik. Turmuhren. Zifferblätter. Kunstguss. Metallbau. Design. Restauration.Vergoldungsarbeiten,"Rain 44
5000 Aarau",3448
Paul Ryser AG,Sanitär - Heizung,Planung / Ausführung von Haustechnikanlagen,"Florastrasse 16
5001 Aarau",3449
Salon drü GmbH ,Podologie,"Institut für Kosmetik, Podologie","Kasinostrasse 25
5000 Aarau",3450
Implenia Schweiz AG,Baugewerbe,Profitcenter Aargau,"Modernisation & Development
Bahnhofstrasse 24
5000 Aarau",3451
IN4OUT AG,Computer,Informatik Dienstleistungen,"Hintere Bahnhofstrasse 6
5000 Aarau",3452
BOWLING-CENTER AARAU,Gastgewerbe,"Bowling, Billard, Barbetrieb und Unterhaltungsspiele","Rohrerstrasse 102
5000 Aarau",3453
Schenker Storen AG,Storen und Rollladen,,"Stauwehrstrasse 34
5012 Schönenwerd",3455
Schlüssel Informatik AG,Internet,,"Graben 10
5000 Aarau",3456
infowirt.ch gmbh,Dienstleistungen,"Keine Strasse ist lang, mit einem Freund an der Seite.","Herzogstrasse 4
5000 Aarau",3457
Schuh Wehrli,Schuhe,,"Graben 26
5000 Aarau",3458
Ortholine Aarau,Gesundheit,,"Ziegelrain 11
5000 Aarau",3459
Printpark GmbH,Digitaldruck & Werbetechnik,"Wir realisieren Beschriftungen und Werbung an Gebäuden, Fahrzeugen und Verkaufspunkten.","Mitteldorfstrasse 35
5033 Buchs",3460
Brunner Zimmerei Holzbau GmbH,Holzbau,Für Qualität im Holzbau - von der Planung bis zur Ausführung. ,"Picardiestrasse 25
5040 Schöftland",3461
Credit Suisse (Schweiz) AG,Bank,Bankdienstleistungen,"Bahnhofstrasse 20
5001 Aarau",3462
Die Mobiliar Versicherungen & Vorsorge,Versicherung,mobi 24 - 24 Std. Zentrale,"Kasinostrasse 29
5001 Aarau",3463
UBS AG,Bank,UBS AG,"Bahnhofstrasse 61
Postfach
5000 Aarau",3466
Kähli AG,"Maler, Sandstrahler",Malerarbeiten aller art / Sandstrahlen mobil u. statonär,"Obermattweg 10
5032 Aarau Rohr",3468
PricewaterhouseCoopers AG,Treuhand,Wirtschaftsprüfung und Steuerberatung,"Bleichemattstrasse 43
5000 Aarau",3469
pandanet.ch GmbH,Computer,IT- Dienstleistungen,"Stauwehrstrasse 40
5012 Schönenwerd",3470
"Zurich, Generalagentur Vincenzo Centolanza",Versicherung,"Versicherung, Vorsorge, Vermögen für Firmen und Private","Industriestrasse 14
Agentur Aarau / Oberentfelden
5036 Oberentfelden",3471
profex broker AG,Versicherung,http://www.profexbroker.ch,"Distelbergstrasse 22
5000 Aarau",3472
ENGIE Services AG,Gebäudetechnik,,"Hinterdorfstrasse 21
5032 Aarau Rohr",3474
Tele M1 AG,Medien,,"Neumattstrasse 1
5001 Aarau",3475
Thut Architekten AG,Architektur,Dipl. Architekten FH/STV,"Wässermattstrasse 12
5000 Aarau",3477
thv AG,Treuhand,"Buchhaltung, Steuern, Recht, Revision","Ziegelrain 29
5001 Aarau",3478
Urech Optik AG,Optik,,"Vordere Vorstadt 18
5000 Aarau",3480
BDO AG,Treuhand,Treuhand- und Beratungsgesellschaft,"Entfelderstrasse 1
5001 Aarau",3482
Visus Service GmbH,Dienstleistungen,"Beratungen für Management, Marketing, Verwaltung","Postfach 4218
5001 Aarau",3483
PSS Stoltenberg,Getränke,Unterhaltsarbeiten in der Getränkeindustrie,"Schiffländestrasse 4
5000 Aarau",3484
Vital AG,Diverse,"Vormischungen für Futtermittel, Tierarzneimittel","Industriestrasse 30
Postfach
5036 Oberentfelden",3485
Mittelland-Personal AG,Personal,Stellenvermittlung für die Industrie und das Industrie-nahe Gewerbe,"Igelweid 22
5001 Aarau",3487
innov8 AG,Internet,"Grafik, Druck & Web Solutions","Delfterstrasse Süd 12
5000 Aarau",3492
AXA Winterthur Generalagentur Marcello Pierri,Versicherung,Generalagentur Marcello Pierri,"Schlossplatz 1
5001 Aarau",3493
Knaus Treuhand AG,Treuhand,"Treuhand-Dienstleistungen, Mitglied Treuhand│Suisse","Aarepark 6
5000 Aarau",3495
Zahner Platten AG,"Bodenbeläge, Teppiche, Parkett",Wand- und Bodenplatten,"Hauptstrasse 98b
5032 Aarau Rohr",3497
ZILTENER AG,Metallbau,,"Wässermattstrasse 2
5000 Aarau",3498
Zimmermann Gartenbau AG,Gartenbau,,"Hebelweg 6
5000 Aarau",3499
Zubler Partner Architekten,Architektur,Planung und Ausführung von Hochbauten,"Hohlgasse 58
5000 Aarau",3500
Zubler AG,Baugewerbe,"Bauunternehmung, Zimmerei, Fensterfabrik","Gönhardweg 28
5001 Aarau",3501
ISI PRINT AG,Druck,ISI Print ist Ihr regio­naler Partner in Aarau für mass­geschnei­derte Lösungen,"Tellistrasse 114
5000 Aarau",3503
Avanti Bau GmbH,Baugewerbe,Abdichtung / Bautenschutz,"Pestalozzistrasse 49
5001 Aarau",3504
Raiffeisenbank Aarau-Lenzburg,Bank,,"Kasinostrasse 37
5000 Aarau",3505
CS-Computing GmbH,Computer,Informatikdienstleistungen,"Hauptstrasse 73
5032 Aarau Rohr",3506
A-Zulauf Musikinstrumente GmbH,Musik,Musikgeschäft &amp; Musikschule,"Zentrum Brauerei, Mitteldorfstrasse 37
5033 Buchs",3507
Rechtsanwalt Dr. Beat Ries,Advokatur- und Notariatsbüro,Rechtsanwalt,"Bleichemattstrasse 43
5001 Aarau",3508
kaz. Kaufmännisches Ausbildungszentrum Aarau,Schule,"Handelsschule, Neuorientierung, Kaderschule","Kasinostrasse 19
5000 Aarau",3511
Valiant Bank AG,Bank,"Valiant - Nähe, die Sie weiter bringt.","Laurenzenvorstadt 1
5001 Aarau",3512
Bouygues E&S In Tec Schweiz AG,Elektro und Telekommunikation,Wir verstehen Gebäude!,"Postfach 2228
5001 Aarau",3514
